59100,ROUBAIX
59110,LA MADELEINE
59111,LIEU-SAINT-AMAND
59111,WAVRECHAIN-SOUS-FAULX
59111,HORDAIN
59111,BOUCHAIN
59112,CARNIN
59112,ANNOEULLIN
59113,SECLIN
59114,STEENVOORDE
59114,EECKE
59114,TERDEGHEM
59114,SAINT-SYLVESTRE-CAPPEL
59115,LEERS
59116,HOUPLINES
59117,WERVICQ-SUD
59118,WAMBRECHIES
59119,WAZIERS
59120,LOOS
59121,PROUVY
59121,HAULCHIN
59122,REXPOEDE
59122,OOST-CAPPEL
59122,HONDSCHOOTE
59122,KILLEM
59122,LES MOERES
59123,BRAY-DUNES
59123,ZUYDCOOTE
59124,ESCAUDAIN
59125,TRITH-SAINT-LEGER
59126,LINSELLES
59127,DEHERIES
59127,WALINCOURT-SELVIGNY
59127,ELINCOURT
59127,ESNES
59127,MALINCOURT
59128,FLERS-EN-ESCREBIEUX
59129,AVESNES-LES-AUBERT
59130,LAMBERSART
59131,ROUSIES
59132,EPPE-SAUVAGE
59132,OHAIN
59132,BAIVES
59132,MOUSTIER-EN-FAGNE
59132,TRELON
59132,WALLERS-EN-FAGNE
59132,GLAGEON
59133,CAMPHIN-EN-CAREMBAULT
59133,PHALEMPIN
59134,HERLIES
59134,BEAUCAMPS-LIGNY
59134,FOURNES-EN-WEPPES
59134,WICRES
59134,LE MAISNIL
59135,BELLAING
59135,WALLERS
59136,WAVRIN
59137,BUSIGNY
59138,PONT-SUR-SAMBRE
59138,VIEUX-MESNIL
59138,HARGNIES
59138,BACHANT
59139,WATTIGNIES
59139,NOYELLES-LES-SECLIN
59141,IWUY
59141,THUN-L'EVEQUE
59141,THUN-SAINT-MARTIN
59142,VILLERS-OUTREAUX
59143,WATTEN
59143,WULVERDINGHE
59143,HOLQUE
59143,SAINT-MOMELIN
59143,NIEURLET
59143,MILLAM
59143,LEDERZEELE
59144,WARGNIES-LE-GRAND
59144,ETH
59144,WARGNIES-LE-PETIT
59144,AMFROIPRET
59144,BRY
59144,PREUX-AU-SART
59144,JENLAIN
59144,GOMMEGNIES
59145,SASSEGNIES
59145,BERLAIMONT
59146,PECQUENCOURT
59147,HERRIN
59147,CHEMY
59147,GONDECOURT
59148,FLINES-LEZ-RACHES
59149,AIBES
59149,COUSOLRE
59149,BOUSIGNIES-SUR-ROC
59150,WATTRELOS
59151,BUGNICOURT
59151,ARLEUX
59151,HAMEL
59151,BRUNEMONT
59151,ESTREES
59152,CHERENG
59152,TRESSIN
59152,GRUSON
59152,ANSTAING
59153,GRAND-FORT-PHILIPPE
59154,CRESPIN
59155,FACHES-THUMESNIL
59156,LOURCHES
59157,BEAUVOIS-EN-CAMBRESIS
59157,FONTAINE-AU-PIRE
59158,MORTAGNE-DU-NORD
59158,FLINES-LES-MORTAGNE
59158,THUN-SAINT-AMAND
59158,MAULDE
59159,NOYELLES-SUR-ESCAUT
59159,RIBECOURT-LA-TOUR
59159,MARCOING
59160,CAPINGHEM
59161,RAMILLIES
59161,CAGNONCLES
59161,ESCAUDOEUVRES
59161,NAVES
59162,OSTRICOURT
59163,CONDE-SUR-L'ESCAUT
59163,THIVENCELLE
59163,SAINT-AYBERT
59164,MARPENT
59165,AUBERCHICOURT
59166,BOUSBECQUE
59167,LALLAING
59168,BOUSSOIS
59169,GOEULZIN
59169,FERIN
59169,CANTIN
59169,ROUCOURT
59169,ERCHIN
59170,CROIX
59171,HELESMES
59171,ERRE
59171,HORNAING
59172,ROEULX
59172,MASTAING
59173,RENESCURE
59173,BLARINGHEM
59173,EBBLINGHEM
59173,SERCUS
59173,LYNDE
59174,LA SENTINELLE
59175,VENDEVILLE
59175,TEMPLEMARS
59176,ECAILLON
59176,MASNY
59177,RAMOUSIES
59177,RAINSARS
59177,SAINS-DU-NORD
59178,HASNON
59178,MILLONFOSSE
59178,BOUSIGNIES
59178,BRILLON
59179,FENAIN
59180,CAPPELLE-LA-GRANDE
59181,STEENWERCK
59182,LOFFRE
59182,MONTIGNY-EN-OSTREVENT
59184,SAINGHIN-EN-WEPPES
59185,PROVIN
59186,ANOR
59187,DECHY
59188,SAINT-AUBERT
59188,VILLERS-EN-CAUCHIES
59188,SAINT-VAAST-EN-CAMBRESIS
59189,THIENNES
59189,BOESEGHEM
59189,STEENBECQUE
59190,WALLON-CAPPEL
59190,CAESTRE
59190,MORBECQUE
59190,HONDEGHEM
59190,PRADELLES
59190,BORRE
59190,HAZEBROUCK
59190,STAPLE
59191,LIGNY-EN-CAMBRESIS
59191,HAUCOURT-EN-CAMBRESIS
59191,CAULLERY
59192,BEUVRAGES
59193,ERQUINGHEM-LYS
59194,RACHES
59194,ANHIERS
59195,HERIN
59195,OISY
59198,HASPRES
59199,BRUILLE-SAINT-AMAND
59199,HERGNIES
59200,TOURCOING
59210,COUDEKERQUE-BRANCHE
59211,SANTES
59212,WIGNEHIES
59213,VENDEGIES-SUR-ECAILLON
59213,ESCARMAIN
59213,SAINT-MARTIN-SUR-ECAILLON
59213,CAPELLE
59213,BERMERAIN
59213,SOMMAING
59214,QUIEVY
59215,ABSCON
59216,DIMONT
59216,BEUGNIES
59216,SARS-POTERIES
59217,CARNIERES
59217,BEVILLERS
59217,BOUSSIERES-EN-CAMBRESIS
59217,CATTENIERES
59218,SALESCHES
59218,VENDEGIES-AU-BOIS
59218,NEUVILLE-EN-AVESNOIS
59218,POIX-DU-NORD
59219,LAROUILLIES
59219,ETROEUNGT
59219,FLOYON
59220,DENAIN
59220,ROUVIGNIES
59220,WAVRECHAIN-SOUS-DENAIN
59221,BAUVIN
59222,CROIX-CALUYAU
59222,BOUSIES
59222,FOREST-EN-CAMBRESIS
59223,RONCQ
59224,MONCHAUX-SUR-ECAILLON
59224,THIANT
59225,MONTIGNY-EN-CAMBRESIS
59225,CLARY
59226,RUMEGIES
59226,LECELLES
59227,MONTRECOURT
59227,SAULZOIR
59227,VERCHAIN-MAUGRE
59229,UXEM
59229,TETEGHEM
59230,NIVELLE
59230,SAINT-AMAND-LES-EAUX
59230,CHATEAU-L'ABBAYE
59230,SARS-ET-ROSIERES
59230,ROSULT
59231,GOUZEAUCOURT
59231,VILLERS-PLOUICH
59231,GONNELIEU
59232,VIEUX-BERQUIN
59233,MAING
59234,MONCHECOURT
59234,FRESSAIN
59234,VILLERS-AU-TERTRE
59235,BERSEE
59236,FRELINGHIEN
59237,VERLINGHEM
59238,MARETZ
59239,THUMERIES
59239,LA NEUVILLE
59241,MASNIERES
59242,GENECH
59242,TEMPLEUVE
59242,CAPPELLE-EN-PEVELE
59243,QUAROUBLE
59244,CARTIGNIES
59244,PETIT-FAYT
59244,GRAND-FAYT
59245,RECQUIGNIES
59246,MONS-EN-PEVELE
59247,FRESSIES
59247,HEM-LENGLET
59247,FECHAIN
59249,FROMELLES
59249,AUBERS
59250,HALLUIN
59251,ALLENNES-LES-MARAIS
59252,MARQUETTE-EN-OSTREVANT
59252,MARCQ-EN-OSTREVENT
59252,WASNES-AU-BAC
59253,LA GORGUE
